2026-06-29 15:55:48.312 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 18632 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-29 17:52:41.789 [http-nio-8080-exec-56] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:41.789 [http-nio-8080-exec-71] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:41.790 [http-nio-8080-exec-71] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 17:52:41.790 [http-nio-8080-exec-56] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：
2026-06-29 17:52:41.791 [http-nio-8080-exec-56] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:41.791 [http-nio-8080-exec-71] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:41.801 [http-nio-8080-exec-56] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 17:52:41.803 [http-nio-8080-exec-71] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
2026-06-29 17:52:43.027 [http-nio-8080-exec-59] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:43.027 [http-nio-8080-exec-60] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:43.028 [http-nio-8080-exec-59] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：
2026-06-29 17:52:43.028 [http-nio-8080-exec-60] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 17:52:43.028 [http-nio-8080-exec-59] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:43.028 [http-nio-8080-exec-60] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:43.041 [http-nio-8080-exec-59] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 17:52:43.045 [http-nio-8080-exec-60] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
2026-06-29 17:52:44.055 [http-nio-8080-exec-62] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=北京省, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:44.054 [http-nio-8080-exec-63] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=北京省, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:44.056 [http-nio-8080-exec-62] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：北京省
2026-06-29 17:52:44.056 [http-nio-8080-exec-63] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：北京省
2026-06-29 17:52:44.056 [http-nio-8080-exec-62] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：北京省
2026-06-29 17:52:44.057 [http-nio-8080-exec-63] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：北京省
